OBJECTID_1,FID_high_pco2,Classes,Value_Min,Value_Max,FID_high_chla,OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,0,8,391.258053365000023,540.965066264000029,50,72,72,7,0.240000222164000,26471.350402481115452,26803189.911984130740166
2,0,8,391.258053365000023,540.965066264000029,55,79,79,7,0.250000000000000,26966.782668230687705,37259585.081509649753571
3,0,8,391.258053365000023,540.965066264000029,56,80,80,9,0.588516485297000,61801.155112302731141,200923965.546733796596527
4,0,8,391.258053365000023,540.965066264000029,60,86,86,7,0.156241683947000,15848.898577444315379,11942248.021199000999331
5,0,8,391.258053365000023,540.965066264000029,61,87,87,8,0.239795099276000,23487.560373719374184,21673208.613487083464861
6,0,8,391.258053365000023,540.965066264000029,63,90,90,9,0.758349536572000,73698.370441267456044,229676365.443296492099762
7,0,8,391.258053365000023,540.965066264000029,64,91,91,8,0.156242868451000,15852.915317111412151,11947213.196027152240276
8,0,8,391.258053365000023,540.965066264000029,66,94,94,9,0.737436001445000,73731.624491402748390,284950257.397755801677704
9,0,8,391.258053365000023,540.965066264000029,68,99,99,9,4.761137209720000,158251.496559496852569,994679800.666878581047058
10,0,8,391.258053365000023,540.965066264000029,69,101,101,9,0.157203609303000,16442.023752033903293,12792613.535071002319455
11,0,8,391.258053365000023,540.965066264000029,70,104,104,9,3.131919646810000,315998.842869366519153,2358444783.723014831542969
12,0,8,391.258053365000023,540.965066264000029,71,105,105,7,3.971851235830000,176877.664211543073179,925176363.443249464035034
13,0,8,391.258053365000023,540.965066264000029,72,107,107,8,0.862098821895000,84966.793272991111735,289366428.204550921916962
14,0,8,391.258053365000023,540.965066264000029,74,109,109,9,1.650021277190000,168437.069939038134180,911001398.459726691246033
15,0,8,391.258053365000023,540.965066264000029,75,110,110,8,0.166666666667000,17396.172596982611140,18716092.085191421210766
16,0,8,391.258053365000023,540.965066264000029,79,115,115,9,0.156241683947000,15887.909466850333047,11990193.065400188788772
17,0,8,391.258053365000023,540.965066264000029,80,118,118,9,1.445066110010000,147715.397442613320891,907005932.305725693702698
18,0,8,391.258053365000023,540.965066264000029,81,119,119,8,0.424019873088000,46342.702300801771344,97423616.208865374326706
19,0,8,391.258053365000023,540.965066264000029,82,120,120,9,0.250000000000000,25218.256068525253795,37465289.421585932374001
20,0,8,391.258053365000023,540.965066264000029,83,122,122,9,1.065351253280000,105882.043752671554103,474476992.626116573810577
21,0,8,391.258053365000023,540.965066264000029,84,123,123,8,0.156241683947000,15895.688146324968329,11999706.163070248439908
22,0,8,391.258053365000023,540.965066264000029,85,124,124,7,0.250000000000000,25225.314732542632555,37473418.404013849794865
23,0,8,391.258053365000023,540.965066264000029,90,135,135,8,0.826060543422000,84232.118298305897042,285176752.294313788414001
24,0,8,391.258053365000023,540.965066264000029,91,136,136,8,6.265973828880000,280832.196809226239566,1536822162.509398937225342
25,0,8,391.258053365000023,540.965066264000029,94,148,148,8,0.291251291357000,30320.592980194673146,41117213.123010240495205
26,0,8,391.258053365000023,540.965066264000029,96,154,154,8,11.236929340300000,725314.168816671473905,4758819184.263075828552246
27,0,8,391.258053365000023,540.965066264000029,102,168,168,7,16.126196513299998,1006546.694930185214616,5022448775.549655914306641
